epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,4421.44,0.73128,0.54969,1.10437,0.8571,0.71765,0.70848,0.56651,0.73346,0.80373,1.24685,4.29358e-05,4.29358e-05,4.29358e-05
117,4459.29,0.70617,0.52625,1.09069,0.91852,0.72269,0.73675,0.59495,0.75882,0.82642,1.27419,4.00339e-05,4.00339e-05,4.00339e-05
118,4497.28,0.71338,0.52323,1.08311,0.84555,0.71239,0.70723,0.57363,0.77323,0.88453,1.30118,3.72391e-05,3.72391e-05,3.72391e-05
119,4535.11,0.71849,0.52018,1.09322,0.8619,0.71478,0.71251,0.5717,0.771,0.81431,1.27664,3.45526e-05,3.45526e-05,3.45526e-05
120,4572.92,0.71839,0.52751,1.09132,0.8377,0.72142,0.70966,0.56278,0.77944,0.81509,1.28613,3.19759e-05,3.19759e-05,3.19759e-05
121,4610.78,0.72036,0.53014,1.09629,0.93712,0.70618,0.73095,0.5809,0.79072,0.84363,1.31387,2.95102e-05,2.95102e-05,2.95102e-05
122,4648.9,0.71055,0.51773,1.08303,0.93577,0.70386,0.73369,0.58395,0.77227,0.81542,1.28938,2.71568e-05,2.71568e-05,2.71568e-05
123,4686.81,0.70964,0.51012,1.07934,0.91738,0.63818,0.70221,0.55823,0.78072,0.85365,1.28783,2.49169e-05,2.49169e-05,2.49169e-05
124,4724.75,0.70806,0.51851,1.0887,0.92441,0.68597,0.72692,0.5836,0.78174,0.84837,1.30662,2.27915e-05,2.27915e-05,2.27915e-05
125,4762.76,0.71723,0.53544,1.09749,0.83181,0.70304,0.70372,0.5731,0.77744,0.84235,1.30469,2.07819e-05,2.07819e-05,2.07819e-05
126,4800.69,0.69502,0.5249,1.09367,0.93828,0.70732,0.72778,0.57937,0.77802,0.83443,1.29804,1.88889e-05,1.88889e-05,1.88889e-05
127,4838.58,0.72398,0.53556,1.09536,0.94451,0.7051,0.72986,0.58585,0.7721,0.82939,1.28845,1.71135e-05,1.71135e-05,1.71135e-05
128,4876.55,0.71849,0.52338,1.09665,0.93406,0.70972,0.73254,0.58455,0.78118,0.82822,1.30239,1.54567e-05,1.54567e-05,1.54567e-05
129,4914.46,0.69406,0.50589,1.08252,0.93008,0.70304,0.73085,0.58957,0.78604,0.87052,1.31026,1.39192e-05,1.39192e-05,1.39192e-05
130,4952.53,0.70337,0.51322,1.09012,0.92578,0.62223,0.70467,0.5636,0.78558,0.89309,1.29532,1.25018e-05,1.25018e-05,1.25018e-05
131,4992.21,0.57389,0.38141,1.03387,0.9039,0.68097,0.72672,0.5755,0.78272,0.88631,1.29547,1.12053e-05,1.12053e-05,1.12053e-05
132,5030.01,0.55287,0.33809,1.02204,0.87983,0.67382,0.71547,0.57581,0.79621,0.93194,1.32072,1.00303e-05,1.00303e-05,1.00303e-05
133,5067.73,0.54224,0.33646,1.02318,0.8688,0.6884,0.72291,0.57845,0.79622,0.91877,1.31035,8.97743e-06,8.97743e-06,8.97743e-06
134,5105.55,0.54241,0.33009,1.01632,0.85853,0.69615,0.67571,0.53638,0.78735,0.93079,1.30349,8.04714e-06,8.04714e-06,8.04714e-06
135,5143.16,0.5473,0.32784,1.03242,0.87759,0.68558,0.72366,0.57758,0.7931,0.92715,1.30741,7.23993e-06,7.23993e-06,7.23993e-06
136,5180.94,0.54714,0.33632,1.02074,0.88274,0.68069,0.7194,0.5779,0.784,0.92725,1.30196,6.55623e-06,6.55623e-06,6.55623e-06
137,5218.52,0.54494,0.32941,1.01545,0.90422,0.6635,0.71917,0.57895,0.79066,0.92872,1.30381,5.99636e-06,5.99636e-06,5.99636e-06
